City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
209,san patricio,28.017,-97.5169,292.51,97,14,1.02,US,1670050956
210,palmas bellas,9.2319,-80.0867,297.18,88,24,2.66,PA,1670050956
211,dauphin,51.1494,-100.0502,250.71,86,11,5.97,CA,1670050957
212,provideniya,64.3833,-173.3,269.07,82,99,2.56,RU,1670050957
213,mehamn,71.0357,27.8492,271.12,80,6,7.72,NO,1670050958
214,mongoumba,3.6415,18.5936,300.73,65,50,1.47,CF,1670050958
215,kupang,-10.1667,123.5833,305.47,55,20,4.12,ID,1670050958
216,haapiti,-17.5667,-149.8667,300.0,79,99,8.54,PF,1670050958
217,tadine,-21.55,167.8833,300.47,82,100,5.21,NC,1670050959
218,torbay,47.6666,-52.7314,273.3,71,6,2.24,CA,1670050959
219,kushmurun,52.4503,64.6311,257.16,85,23,6.21,KZ,1670050847
220,jacareacanga,-6.2222,-57.7528,295.49,98,100,0.37,BR,1670050960
221,kayerkan,69.3497,87.7602,252.75,99,100,2.49,RU,1670050960
222,namatanai,-3.6667,152.4333,298.49,86,100,3.33,PG,1670050960
223,moree,-29.4667,149.85,302.02,22,1,2.93,AU,1670050960
224,pevek,69.7008,170.3133,252.87,85,36,6.11,RU,1670050961
225,fortuna,40.5982,-124.1573,278.11,82,0,6.17,US,1670050961
226,norman wells,65.282,-126.8329,267.03,98,100,2.01,CA,1670050961
227,ternate,0.8,127.4,301.96,71,82,1.87,ID,1670050962
228,ambatondrazaka,-17.8333,48.4167,300.61,57,79,0.18,MG,1670050962
229,san angelo,31.4638,-100.437,286.69,88,0,2.06,US,1670050962
230,gogrial,8.5332,28.1004,302.13,17,9,3.76,SS,1670050962
231,bhadravati,13.8667,75.7167,302.8,50,6,4.54,IN,1670050963
232,kloulklubed,7.0419,134.2556,300.43,77,100,7.12,PW,1670050963
233,stromness,58.965,-3.296,281.41,84,100,6.26,GB,1670050783
234,homer,59.6425,-151.5483,271.37,75,80,1.34,US,1670050964
235,lagoa,39.05,-27.9833,286.23,66,13,15.47,PT,1670050917
236,yulara,-25.2406,130.9889,310.58,10,10,3.85,AU,1670050964
237,berlevag,70.8578,29.0864,273.04,80,27,1.03,NO,1670050964
238,calamar,10.2511,-74.9146,295.29,93,78,0.98,CO,1670050964
239,shelburne,44.0787,-80.2041,279.59,80,100,9.78,CA,1670050965
240,coxim,-18.5067,-54.76,296.37,92,100,1.18,BR,1670050965
241,tynda,55.1667,124.7167,247.25,94,100,1.49,RU,1670050937
242,tocopilla,-22.092,-70.1979,291.96,61,3,1.88,CL,1670050966
243,kapit,2.0167,112.9333,303.01,73,92,0.4,MY,1670050966
244,carahue,-38.7,-73.1667,285.93,95,91,0.71,CL,1670050966
245,sao filipe,14.8961,-24.4956,295.19,61,99,2.36,CV,1670050967
246,akyab,20.15,92.9,301.53,64,3,3.57,MM,1670050968
247,souillac,-20.5167,57.5167,298.96,64,100,4.09,MU,1670050939
248,bonfim,3.0833,-59.95,297.0,85,100,2.89,BR,1670050968
249,mahebourg,-20.4081,57.7,298.5,65,86,3.68,MU,1670050969
250,nemuro,43.3236,145.575,278.46,66,100,9.61,JP,1670050969
251,rocha,-34.4833,-54.3333,286.91,94,100,0.91,UY,1670050858
252,kalmunai,7.4167,81.8167,301.66,70,100,3.45,LK,1670050969
253,imbituba,-28.24,-48.6703,295.57,96,100,3.46,BR,1670050970
254,san andres,12.5847,-81.7006,300.94,73,1,8.93,CO,1670050971
255,codrington,-38.2667,141.9667,294.27,59,0,4.11,AU,1670050971
256,black river,18.0264,-77.8487,297.87,79,12,3.84,JM,1670050971
257,coahuayana,18.7333,-103.6833,296.66,87,55,1.6,MX,1670050971
258,faya,18.3851,42.4509,289.03,49,0,0.26,SA,1670050972
259,kokoda,-8.8785,147.7407,297.58,93,99,0.4,PG,1670050972
260,paamiut,61.994,-49.6678,273.08,73,100,10.49,GL,1670050973
261,khatanga,71.9667,102.5,252.56,98,94,3.17,RU,1670050973
262,naze,28.3667,129.4833,291.6,88,100,6.93,JP,1670050973
263,randolph,35.7001,-79.8164,281.96,94,75,0.0,US,1670050974
264,mitchell,43.7094,-98.0298,259.12,73,0,3.09,US,1670050974
265,beringovskiy,63.05,179.3167,266.71,76,100,2.85,RU,1670050974
266,kaeo,-35.1,173.7833,289.44,76,96,1.48,NZ,1670050975
267,de-kastri,51.4667,140.7833,256.41,85,100,0.69,RU,1670050975
268,bulawayo,-20.15,28.5833,299.76,29,62,2.98,ZW,1670050942
269,massaguet,12.4755,15.4365,300.13,19,98,5.86,TD,1670050975
270,ondangwa,-17.9167,15.95,302.6,28,22,3.76,NA,1670050975
271,westport,41.1415,-73.3579,283.17,79,75,1.54,US,1670050976
272,coihaique,-45.5752,-72.0662,281.91,94,95,4.68,CL,1670050976
273,hasaki,35.7333,140.8333,285.53,66,89,2.29,JP,1670050976
274,camacha,33.0833,-16.3333,286.83,72,40,2.57,PT,1670050976
275,mayumba,-3.432,10.6554,298.41,82,100,1.39,GA,1670050977
276,nanortalik,60.1432,-45.2371,273.76,98,100,3.51,GL,1670050977
277,meulaboh,4.1363,96.1285,299.24,80,100,0.81,ID,1670050977
278,teya,60.3778,92.6267,253.72,96,94,2.08,RU,1670050978
279,mount isa,-20.7333,139.5,305.02,25,36,4.63,AU,1670050978
280,lompoc,34.6391,-120.4579,288.03,94,100,5.14,US,1670050979
281,murray bridge,-35.1167,139.2667,306.12,18,0,7.14,AU,1670050980
282,wyndham,37.6985,-77.6125,284.34,76,100,0.89,US,1670050980
283,palmares do sul,-30.2578,-50.5097,296.05,90,100,1.12,BR,1670050980
284,toora-khem,52.4675,96.11,252.66,78,92,0.66,RU,1670050980
285,pudozh,61.8099,36.5345,266.02,76,100,2.68,RU,1670050981
286,vila velha,-20.3297,-40.2925,294.79,99,100,3.95,BR,1670050981
287,mardin,37.3131,40.7436,284.36,58,0,1.79,TR,1670050946
288,pangnirtung,66.1451,-65.7125,255.48,98,100,2.83,CA,1670050981
289,tiksi,71.6872,128.8694,251.85,95,100,12.28,RU,1670050982
290,tiznit,29.5833,-9.5,285.92,81,85,1.35,MA,1670050982
291,damaturu,11.747,11.9608,297.08,22,6,3.81,NG,1670050708
292,sangod,24.9167,76.2833,297.17,26,100,1.25,IN,1670050982
293,aklavik,68.2191,-135.0107,270.78,85,100,2.34,CA,1670050982
294,soloneshnoye,51.6544,84.3197,260.47,77,3,0.91,RU,1670050983
295,filadelfia,39.9523,-75.1638,282.78,79,100,0.89,US,1670050866
296,guilin,25.2819,110.2864,280.5,82,100,1.56,CN,1670050875
297,yumen,40.2833,97.2,266.65,66,100,3.5,CN,1670050983
298,chokurdakh,70.6333,147.9167,252.67,93,100,9.34,RU,1670050983
299,prince rupert,54.3161,-130.3201,267.88,54,0,2.77,CA,1670050983
300,otane,-39.8833,176.6333,286.49,77,33,1.32,NZ,1670050984
301,longyearbyen,78.2186,15.6401,276.06,87,40,4.12,SJ,1670050984
302,dubbo,-32.25,148.6167,300.22,26,40,4.63,AU,1670050985
303,ilulissat,69.2167,-51.1,273.16,86,20,1.03,GL,1670050985
304,bom jardim,-7.7958,-35.5872,293.94,93,39,1.26,BR,1670050985
305,avera,33.194,-82.5271,281.88,92,44,1.55,US,1670050986
306,husavik,66.0449,-17.3389,274.7,85,75,1.29,IS,1670050986
307,bagdarin,54.4333,113.6,251.69,73,82,1.39,RU,1670050986
308,talara,-4.5772,-81.2719,292.78,83,62,7.12,PE,1670050987
309,rorvik,64.8621,11.2373,274.21,69,7,2.57,NO,1670050987
310,northam,51.0333,-4.2167,279.48,70,100,7.52,GB,1670050987
